1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,0,1,0,1
0,0,1,0,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,0
0,1,1,1,0
27,37,1,37,27
27,27,1,27,27
0,1,1,1,0
0,25,25,25,0
0,25,25,25,0
31,31,1,31,31
28,28,41,28,28
28,28,1,28,28
1,1,1,1,1
0,1,31,1,0
0,0,31,0,0
0,0,0,0,0
36,0,0,0,36
1,1,2,1,1
1,1,1,1,1
1,0,31,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,2,0,1
0,1,0,44,0
0,0,0,0,0
0,0,17,0,0
2,36,0,36,2
0,0,34,0,0
0,0,0,0,0
0,1,2,1,0
2,1,1,1,2
1,1,31,1,1
1,1,1,1,1
0,1,1,1,0
0,0,26,26,0
0,0,41,31,1
0,0,29,29,1
0,0,28,28,1
0,0,0,25,25
0,0,1,31,1
0,45,1,29,29
1,1,1,28,28
1,1,1,31,31
0,1,1,1,31
0,0,1,1,1
0,0,0,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,1,1,1,0
0,0,1,1,1
0,1,31,1,1
1,31,1,1,1
0,0,1,1,0
1,17,28,28,0
0,0,28,0,0
1,17,28,28,0
3,3,1,0,0
1,1,1,1,0
0,31,1,1,1
28,28,1,1,1
0,27,1,37,0
28,28,36,1,1
1,1,1,1,1
31,27,1,1,1
0,31,27,1,1
0,0,31,27,1
0,0,0,0,0
0,0,1,17,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,0,0
0,1,17,1,0
29,29,1,29,29
28,28,28,28,28
1,31,0,0,1
22,31,0,0,24
1,0,0,1,1
0,0,0,0,0
10,16,17,16,7
13,37,3,37,13
0,1,1,1,0
25,25,25,25,25
1,1,1,1,1
25,25,0,25,25
27,0,0,0,1
28,28,31,1,1
29,29,29,1,1
28,28,1,1,1
0,1,1,1,0
0,25,0,25,0
0,1,31,1,0
0,25,0,25,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,43
1,31,0,0,0
1,1,0,0,35
1,1,0,0,0
1,1,0,2,0
34,0,0,0,17
0,0,0,0,0
0,0,0,0,2
0,0,0,31,1
0,2,0,1,1
17,0,0,1,1
0,0,0,1,1
34,0,0,0,34
0,0,0,0,0
0,2,0,2,0
1,1,1,1,1
1,1,1,1,1
0,38,1,38,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
31,1,2,1,31
28,28,28,28,28
0,28,0,28,0
0,0,0,0,0
0,2,0,2,0
1,1,0,1,1
36,1,0,1,35
0,0,0,0,0
21,0,0,0,17
3,1,37,1,3
1,1,1,1,1
0,5,1,5,0
0,31,27,31,0
0,31,27,31,0
0,24,27,22,0
0,0,0,0,0
0,1,17,1,0
1,3,3,3,27
1,1,31,27,0
1,1,27,0,0
25,25,25,0,0
0,25,25,25,0
0,0,25,25,0
0,1,31,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,1,1,1,0
1,1,1,1,1
1,1,0,1,1
41,31,0,31,1
1,28,28,28,1
29,29,29,35,1
28,28,35,1,1
